km,pk,plus,alt,dec,len
1283,0,0,76.98,,
1283,1,0,76.48,-25,100
1283,2,0,76.09,16.1,100
1283,3,0,76.02,-0.7,100
1283,4,0,75.96,-0.6,100
1283,5,0,75.98,0.2,100
1283,6,0,75.93,-0.5,100
1283,7,0,75.94,0.1,100
1283,8,0,75.96,0.2,100
1283,8,9.1,75.97,1.1,9.1
1283,9,0,75.94,-0.3,90.9
1284,0,0,76.07,1.3,100
1284,1,0,76.12,0.5,100
1284,2,0,76.2,0.8,100
1284,3,0,76.43,2.3,100
1284,4,0,76.74,3.1,100
1284,5,0,77.2,4.6,100
1284,6,0,77.69,4.9,100.3
1284,6,64.7,78.27,9,64.7
1284,7,0,78.54,7.6,35.3
1284,8,0,79.34,8,100
1284,9,0,79.86,5.2,100
1285,0,0,80.39,5.3,100
1285,1,0,79.98,-4.1,100
1285,2,0,79.9,-0.8,100
1285,3,0,80,1,100
1285,4,0,80.01,0.1,100
1285,5,0,79.98,-0.3,100
1285,6,0,80.1,1.2,100
1285,7,0,80.22,1.2,100
1285,8,0,80.44,2.2,99.61
1285,8,23.3,80.48,1.7,23.3
1285,9,0,80.54,0.8,76.7
1286,0,0,80.76,2.2,100
1286,1,0,80.85,0.9,100
1286,2,0,81,1.5,100
1286,3,0,81.52,5.2,100
1286,4,0,82.16,6.4,100
1286,4,4.9,82.16,0,4.9
1286,5,0,82.27,1.2,95.1
1286,6,0,82.14,-1.3,100
1286,7,0,82.11,-0.3,100
1286,8,0,82.19,0.8,100
1286,9,0,82.14,-0.5,100.21
1286,9,64,82.17,0.5,64
1286,9,69.75,82.17,0,5.75
1286,9,75.5,82.17,0,5.75
1287,0,0,82.23,2.4,24.5
1287,1,0,82.27,0.4,100
1287,2,0,82.36,0.9,100
1287,3,0,82.6,2.4,100
1287,4,0,82.77,1.7,100
1287,4,73.2,82.9,1.8,73.2
1287,5,0,82.91,0.4,26.8
1287,6,0,82.89,-0.2,100
1287,7,0,82.82,-0.7,100
1287,8,0,82.81,-0.1,100
1287,9,0,82.85,0.4,100
1288,0,0,82.88,0.3,100
1288,1,0,83.12,2.4,100
1288,2,0,83.37,2.5,100
1288,3,0,83.68,3.1,100
1288,4,0,83.75,0.7,100
1288,5,0,83.86,1.1,100
1288,6,0,83.86,0,100
1288,7,0,83.83,-0.3,100
1288,8,0,83.79,-0.4,100
1288,9,0,83.72,-0.7,100
1289,0,0,83.63,-0.9,100
1289,1,0,83.53,-1,100
1289,2,0,83.61,0.8,100
1289,3,0,83.5,-1.1,100
1289,4,0,83.56,0.6,100
1289,5,0,83.63,0.7,100
1289,6,0,83.6,-0.3,101.17
1289,6,50.6,83.64,0.8,50.6
1289,6,54.8,83.64,0,4.2
1289,6,58.9,83.64,0,4.1
1289,7,0,83.68,1,41.1
1289,8,0,83.76,0.8,100
1289,9,0,83.86,1,100
1290,0,0,83.85,-0.1,100
1290,1,0,83.68,-1.7,100
1290,2,0,83.47,-2.1,100
1290,3,0,83.03,-4.4,100
1290,4,0,82.54,-4.9,100
1290,5,0,81.66,-8.9,99.29
1290,5,30,81.14,-17.3,30
1290,5,36.6,81.11,-4.5,6.6
1290,5,42.8,81.01,-16.1,6.2
1290,6,0,80.49,-9.1,57.2
1290,7,0,80.41,-0.8,100
1290,8,0,80.38,-0.3,100
1290,8,81,80.38,0,81
1290,9,0,80.38,0,19
1291,0,0,80.36,-0.2,100.33
1291,0,58.1,80.47,1.9,58.1
1291,0,69,80.51,3.7,10.9
1291,0,79.6,80.54,2.8,10.6
1291,1,0,80.55,0.5,20.4
1291,2,0,80.39,-1.6,100
1291,3,0,81.03,6.4,100
1291,4,0,81.6,5.7,100
1291,5,0,82.21,6.1,100
1291,6,0,82.9,6.9,100
1291,7,0,83.54,6.4,100
1291,8,0,84.38,8.4,100
1291,9,0,85.23,8.5,100
1292,0,0,85.92,6.9,100
1292,1,0,86.46,5.4,100
1292,2,0,86.5,0.4,100
1292,3,0,86.48,-0.2,100
1292,4,0,86.48,0,100
1292,5,0,86.45,-0.3,100
1292,6,0,86.48,0.3,100
1292,7,0,86.54,0.6,100
1292,8,0,86.71,1.7,100
1292,9,0,86.64,-0.7,100
1293,0,0,86.53,-1.1,100
1293,1,0,86.51,-0.2,100.08
1293,1,67.3,86.52,0.1,67.3
1293,2,0,86.47,-1.5,32.7
1293,3,0,86.35,-1.2,100
1293,4,0,86.4,0.5,100
1293,5,0,86.39,-0.1,100
1293,6,0,86.4,0.1,100
1293,7,0,86.46,0.6,100
1293,8,0,86.46,0,100
1293,9,0,86.57,1.1,99.89
1293,9,51.85,86.54,-0.6,51.85
1294,0,0,86.5,-0.8,48.15
1294,1,0,86.22,-2.8,100
1294,2,0,85.86,-3.6,100
